prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size_sqft,furnished,facilities,additional_facilities,region
OG Heights,1988,1200,Kuala Lumpur - Pantai,Condominium,2,1,2,1000,Partially Furnished,"Parking, Jogging Track, Tennis Court, Lift, Sauna, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
8 Petaling,2014,2599,Kuala Lumpur - Sri Petaling,Condominium,4,3,5,1899,Fully Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Delima J Apartment,2017,1400,Kuala Lumpur - Desa Pandan,Apartment,3,1,2,1000,Partially Furnished,"Playground, Security, Parking","Air-Cond, Cooking Allowed",Kuala Lumpur
Lexa Residence @ The Quartz WM,2017,2600,Kuala Lumpur - Wangsa Maju,Service Residence,4,0,2,877,Fully Furnished,None,None,Kuala Lumpur
The Nest Residence @ Genting Klang,2017,900,Kuala Lumpur - Setapak,Service Residence,1,1,1,360,Fully Furnished,"Swimming Pool, Minimart, Tennis Court, Squash Court, Parking, Playground, Gymnasium, Jogging Track, Security, Lift",None,Kuala Lumpur
Hedgeford 10 Residences @ Wangsa Maju,2015,1200,Kuala Lumpur - Wangsa Maju,Service Residence,1,1,1,521,Partially Furnished,"Security, Swimming Pool, Jogging Track, Sauna, Minimart, Parking","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
The Establishment,2018,2500,Kuala Lumpur - Brickfields,Service Residence,1,1,1,468,Fully Furnished,Parking,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
The Henge Kepong,2019,2200,Kuala Lumpur - Kepong,Condominium,3,2,2,1100,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Security, Tennis Court, Lift, Multipurpose hall, Parking, Gymnasium, Barbeque area, Minimart, Squash Court, Sauna, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Sofiya Residences,2017,2300,Kuala Lumpur - Desa ParkCity,Condominium,3,1,2,862,Fully Furnished,"Playground, Security, Parking, Gymnasium, Sauna, Jogging Track, Barbeque area, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Suasana Lumayan,2015,1500,Kuala Lumpur - Cheras,Condominium,4,1,2,1142,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
