prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size_sqft,furnished,facilities,additional_facilities,region
Cloud Tree @ Cheras,2016,2300,Selangor - Cheras,Service Residence,4,2,2,1269,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
D' Latour,2017,1100,Selangor - Bandar Sunway,Service Residence,1,0,1,100,Fully Furnished,"Multipurpose hall, Swimming Pool, Gymnasium, Sauna, Security, Playground, Barbeque area, Lift, Parking, Club house, Jogging Track, Tennis Court, Minimart, Squash Court",None,Selangor
D' Latour,2017,1680,Selangor - Bandar Sunway,Service Residence,1,0,1,130,Fully Furnished,"Security, Swimming Pool, Multipurpose hall, Playground, Gymnasium, Barbeque area, Sauna, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Symphony Heights (Simfoni Heights),2011,1300,Selangor - Batu Caves,Condominium,3,1,2,1144,Fully Furnished,"Swimming Pool, Jogging Track, Parking",None,Selangor
Alam Budiman (Sri Budiman),2017,1100,Selangor - Shah Alam,Apartment,3,0,2,850,Not Furnished,"Security, Jogging Track, Playground",Cooking Allowed,Selangor
Monet Lily @ Monet Residences Sunsuria City,2019,700,Selangor - Sepang,Condominium,1,1,1,450,Not Furnished,"Parking, Security, Playground, Lift, Swimming Pool, Multipurpose hall, Minimart, Barbeque area, Gymnasium, Sauna, Jogging Track, Club house",Cooking Allowed,Selangor
Equine Residence,2021,2000,Selangor - Seri Kembangan,Service Residence,3,2,2,893,Partially Furnished,"Swimming Pool, Jogging Track, Playground, Security, Gymnasium, Lift, Parking, Barbeque area","Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Pandora Serviced Residence,2017,1250,Selangor - Shah Alam,Service Residence,1,1,1,570,Partially Furnished,"Swimming Pool, Gymnasium, Barbeque area, Security, Multipurpose hall, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
Edusphere,2021,1700,Selangor - Cyberjaya,Condominium,2,2,2,800,Not Furnished,Security,"Cooking Allowed, Near KTM/LRT, Air-Cond",Selangor
Silk Residence,2017,1200,Selangor - Cheras,Apartment,3,2,2,1021,Partially Furnished,None,None,Selangor
Putra Ria Apartment (Seri Kembangan),2017,850,Selangor - Balakong,Apartment,3,2,2,752,Partially Furnished,"Minimart, Parking, Security, Lift, Playground","Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Lakes Condominiums / Pangsapuri Tasik,2017,1750,Selangor - Shah Alam,Condominium,3,1,2,1300,Fully Furnished,None,"Air-Cond, Cooking Allowed, Washing Machine",Selangor
The Arc @ Cyberjaya,2017,1300,Selangor - Cyberjaya,Service Residence,3,1,2,1000,Fully Furnished,"Gymnasium, Parking, Security, Playground, Swimming Pool, Jogging Track, Sauna, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Amerin Residence,2017,1600,Selangor - Kajang,Service Residence,2,0,2,856,Fully Furnished,None,"Air-Cond, Cooking Allowed, Washing Machine",Selangor
Alanis @ Warisan Puteri,2022,1250,Selangor - Sepang,Service Residence,2,2,1,559,Partially Furnished,"Swimming Pool, Barbeque area, Gymnasium, Multipurpose hall, Security, Parking, Playground, Lift",Air-Cond,Selangor
Koi Prima,2017,1900,Selangor - Puchong,Condominium,3,2,2,1055,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Cooking Allowed, Air-Cond",Selangor
Mutiara Ville @ Cyberjaya,2013,1200,Selangor - Cyberjaya,Condominium,1,1,1,500,Fully Furnished,"Parking, Jogging Track, Security, Tennis Court, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine, Internet",Selangor
Teratai Apartment @ Taman Sutera,2017,800,Selangor - Kajang,Apartment,3,1,2,800,Partially Furnished,"Parking, Security, Playground",None,Selangor
Alami Residensi,2017,1850,Selangor - Shah Alam,Condominium,3,2,2,1000,Fully Furnished,"Multipurpose hall, Security, Swimming Pool",None,Selangor
Canopy Hills,2022,1300,Selangor - Kajang,Condominium,2,1,1,600,Fully Furnished,"Playground, Gymnasium, Swimming Pool, Security, Lift, Jogging Track, Multipurpose hall, Parking, Barbeque area, Minimart","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Selangor
Sri Mekar Apartment,2017,1400,Selangor - Puchong,Apartment,3,1,2,1105,Partially Furnished,"Parking, Swimming Pool, Playground, Security","Air-Cond, Cooking Allowed",Selangor
Palm Hill Residence,2020,799,Selangor - Kajang,Condominium,3,2,2,915,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track",Cooking Allowed,Selangor
Pangsapuri Jati 2,2017,1000,Selangor - Subang Jaya,Apartment,3,1,2,926,Not Furnished,"Parking, Security, Swimming Pool, Gymnasium, Lift, Jogging Track",Cooking Allowed,Selangor
Saraka Apartment,2017,1200,Selangor - Puchong,Condominium,3,1,2,915,Fully Furnished,"Gymnasium, Parking, Swimming Pool, Security, Playground, Lift",Air-Cond,Selangor
BSP Skypark Serviced Residence,2017,1200,Selangor - Kuala Langat,Service Residence,3,2,2,1021,Partially Furnished,"Swimming Pool, Playground, Security, Minimart, Gymnasium, Lift, Sauna, Parking, Barbeque area, Multipurpose hall, Jogging Track","Cooking Allowed, Internet",Selangor
Kiara Plaza,2017,850,Selangor - Semenyih,Studio,1,1,1,477,Partially Furnished,"Security, Barbeque area, Multipurpose hall, Playground, Swimming Pool, Gymnasium, Jogging Track, Parking, Lift, Sauna, Minimart","Air-Cond, Cooking Allowed, Internet, Washing Machine",Selangor
Suria Jaya,2017,900,Selangor - Shah Alam,Apartment,1,1,2,430,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart","Air-Cond, Cooking Allowed",Selangor
Lestari Perdana Apartment,2017,700,Selangor - Seri Kembangan,Apartment,3,0,1,700,Not Furnished,Minimart,None,Selangor
D'Sara Sentral Serviced Residence,2018,1100,Selangor - Sungai Buloh,Service Residence,1,1,1,504,Fully Furnished,"Parking, Security, Swimming Pool, Lift, Playground, Gymnasium, Barbeque area, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
Impiria Residensi Bukit Tinggi Klang,2018,3000,Selangor - Klang,Service Residence,4,2,3,1314,Fully Furnished,"Minimart, Swimming Pool, Playground, Gymnasium, Squash Court, Lift, Parking, Security, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Karisma @ Eco Majestic,2014,770,Selangor - Semenyih,Apartment,3,2,2,800,Not Furnished,"Security, Gymnasium, Sauna, Parking, Swimming Pool, Playground, Minimart",None,Selangor
PKNS Seksyen 6 Bandar Baru Bangi,2017,1350,Selangor - Bangi,Condominium,4,2,2,980,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area","Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Sri Penaga Apartment,2017,850,Selangor - Puchong,Condominium,3,1,2,850,Partially Furnished,Barbeque area,"Cooking Allowed, Near KTM/LRT",Selangor
Landmark II,2019,2000,Selangor - Kajang,Condominium,3,2,2,1163,Fully Furnished,"Multipurpose hall, Gymnasium, Security, Playground, Swimming Pool, Parking, Barbeque area",None,Selangor
Canopy Hills,2022,900,Selangor - Kajang,Condominium,2,1,1,590,Not Furnished,"Jogging Track, Playground, Swimming Pool, Lift, Multipurpose hall, Security, Gymnasium, Barbeque area, Minimart, Parking","Cooking Allowed, Near KTM/LRT",Selangor
Taman Tenaga Apartment,2017,900,Selangor - Kajang,Apartment,3,0,2,1000,Partially Furnished,"Parking, Playground, Minimart, Jogging Track","Near KTM/LRT, Cooking Allowed",Selangor
The Arc @ Cyberjaya,2017,1200,Selangor - Cyberjaya,Condominium,3,1,2,1000,Partially Furnished,"Parking, Jogging Track, Security, Playground, Minimart, Swimming Pool, Gymnasium, Sauna","Air-Cond, Cooking Allowed",Selangor
Tiara Imperio @ Bangi,2019,1100,Selangor - Kajang,Service Residence,1,1,1,466,Fully Furnished,"Parking, Security, Lift, Playground, Swimming Pool, Gymnasium, Sauna, Barbeque area, Multipurpose hall","Cooking Allowed, Washing Machine, Near KTM/LRT",Selangor
Gravit8,2018,1250,Selangor - Port Klang,Service Residence,2,0,2,760,Partially Furnished,None,None,Selangor
Utropolis Urbano,2018,950,Selangor - Shah Alam,Condominium,1,0,1,490,Fully Furnished,"Swimming Pool, Squash Court, Jogging Track, Lift, Sauna, Club house, Gymnasium, Multipurpose hall, Barbeque area, Parking, Security, Minimart, Playground, Tennis Court",None,Selangor
Saville @ Cheras,2019,1200,Selangor - Cheras,Service Residence,1,1,1,380,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Mentari Court,2006,1300,Selangor - Petaling Jaya,Apartment,3,1,2,770,Fully Furnished,"Parking, Security, Lift, Playground, Swimming Pool","Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Langat Jaya,2017,900,Selangor - Cheras,Condominium,3,1,2,900,Partially Furnished,"Tennis Court, Barbeque area, Parking, Security, Minimart, Playground, Gymnasium, Swimming Pool","Cooking Allowed, Near KTM/LRT",Selangor
Sierra Residency,2009,1100,Selangor - Puchong,Condominium,3,1,2,907,Not Furnished,"Parking, Playground, Gymnasium, Multipurpose hall, Swimming Pool, Barbeque area, Security, Club house",None,Selangor
The Amber Residences,2022,1100,Selangor - Kota Kemuning,Service Residence,1,2,1,560,Partially Furnished,"Barbeque area, Playground, Jogging Track, Security, Sauna, Parking",Internet,Selangor
Vista Seri Putra Apartments,2017,1100,Selangor - Bangi,Apartment,3,1,2,780,Fully Furnished,"Parking, Jogging Track, Security, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed",Selangor
Ritze Perdana 1,2006,1200,Selangor - Damansara Perdana,Condominium,1,1,1,465,Fully Furnished,"Security, Sauna, Playground, Swimming Pool, Gymnasium, Lift, Squash Court, Parking, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Indah Condominium,2017,800,Selangor - Petaling Jaya,Condominium,3,1,2,850,Not Furnished,"Parking, Security, Sauna, Swimming Pool, Playground, Minimart",None,Selangor
Rhythm Avenue USJ19,2008,1300,Selangor - Subang Jaya,Apartment,3,0,2,920,Partially Furnished,"Security, Jogging Track, Minimart, Lift, Swimming Pool, Sauna, Multipurpose hall, Squash Court, Playground, Gymnasium, Parking","Near KTM/LRT, Cooking Allowed",Selangor
Gravit8,2018,1250,Selangor - Port Klang,Service Residence,2,0,1,631,Partially Furnished,None,None,Selangor
The Zizz,2019,2000,Selangor - Damansara Damai,Service Residence,3,2,2,749,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Prima Bayu,2017,1800,Selangor - Klang,Condominium,3,1,2,1038,Partially Furnished,"Swimming Pool, Parking, Security",Air-Cond,Selangor
Casa Tropika,2014,1200,Selangor - Puchong,Condominium,3,1,2,1006,Partially Furnished,"Swimming Pool, Lift, Security, Minimart, Jogging Track, Sauna, Playground, Gymnasium, Tennis Court, Squash Court, Multipurpose hall, Parking",Air-Cond,Selangor
D'Aman Residences,2013,1099,Selangor - Puchong,Condominium,3,2,2,1076,Partially Furnished,"Squash Court, Jogging Track, Multipurpose hall, Security, Swimming Pool, Gymnasium, Playground, Minimart, Club house, Tennis Court, Sauna, Barbeque area, Lift, Parking","Air-Cond, Near KTM/LRT, Washing Machine, Cooking Allowed",Selangor
Pangsapuri Setia Impian,2017,1150,Selangor - Kajang,Apartment,3,2,2,1305,Partially Furnished,"Playground, Lift, Security, Parking, Jogging Track","Air-Cond, Cooking Allowed, Internet",Selangor
D' Camellia,2017,800,Selangor - Semenyih,Apartment,3,2,2,850,Partially Furnished,None,None,Selangor
Pusat Hentian Kajang,2017,700,Selangor - Kajang,Apartment,3,0,2,800,Partially Furnished,None,"Cooking Allowed, Near KTM/LRT",Selangor
Kenwingston Square Garden,2020,1600,Selangor - Cyberjaya,Service Residence,2,2,1,650,Fully Furnished,"Security, Gymnasium, Parking, Swimming Pool, Jogging Track, Lift, Multipurpose hall, Playground, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Dreamcity,2017,2000,Selangor - Seri Kembangan,Condominium,3,0,2,1100,Fully Furnished,None,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Green Park,2017,1200,Selangor - Seri Kembangan,Condominium,3,2,2,845,Partially Furnished,"Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Club house",Cooking Allowed,Selangor
Sky Condominium @ Bandar Puchong Jaya,2019,3500,Selangor - Puchong,Condominium,4,2,3,1550,Partially Furnished,"Gymnasium, Tennis Court, Parking, Playground, Security, Multipurpose hall, Barbeque area, Swimming Pool, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Villa Duta,2017,1600,Selangor - Ampang,Condominium,3,0,2,1250,Partially Furnished,"Playground, Tennis Court, Swimming Pool, Barbeque area, Multipurpose hall, Security, Parking, Squash Court",None,Selangor
Sutera Apartment Bandar Tun Hussein Onn,2017,950,Selangor - Cheras,Apartment,3,0,2,685,Partially Furnished,"Parking, Playground",Cooking Allowed,Selangor
Traders Garden @ Cheras Selatan,2022,600,Selangor - Cheras,Service Residence,3,0,2,800,Fully Furnished,None,None,Selangor
BSP 21,2018,1200,Selangor - Bandar Saujana Putra,Service Residence,3,2,2,1000,Partially Furnished,"Barbeque area, Sauna, Swimming Pool, Tennis Court, Jogging Track, Playground, Parking, Security, Lift, Gymnasium","Air-Cond, Cooking Allowed",Selangor
Kristal Heights (Shah Alam),2006,1500,Selangor - Shah Alam,Condominium,3,0,2,1100,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Gymnasium","Air-Cond, Near KTM/LRT",Selangor
Aman Heights,2008,1500,Selangor - Seri Kembangan,Condominium,4,1,2,1246,Partially Furnished,"Parking, Security, Gymnasium, Squash Court, Sauna, Playground, Barbeque area, Club house, Lift, Swimming Pool, Multipurpose hall, Minimart, Jogging Track","Cooking Allowed, Near KTM/LRT, Air-Cond",Selangor
Eclipse Residence @ Pan'gaea,2018,1500,Selangor - Cyberjaya,Service Residence,2,2,2,650,Fully Furnished,"Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Parking","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Azaria Apartments,2017,1100,Selangor - Klang,Apartment,3,0,2,850,Not Furnished,"Jogging Track, Playground, Security, Parking",None,Selangor
Megaria Tulip,2017,1000,Selangor - Seri Kembangan,Apartment,3,1,2,940,Partially Furnished,"Gymnasium, Parking, Security, Swimming Pool, Barbeque area, Playground, Lift",Cooking Allowed,Selangor
Tropicana Aman 1 – Tropicana Urban Homes,2020,1500,Selangor - Kuala Langat,Condominium,3,0,2,870,Partially Furnished,"Lift, Minimart, Swimming Pool, Squash Court, Security, Parking, Playground, Club house, Gymnasium",None,Selangor
Pangsapuri Petaling Perdana,2017,750,Selangor - Petaling Jaya,Flat,3,0,2,650,Not Furnished,None,None,Selangor
Green Park,2017,1900,Selangor - Seri Kembangan,Condominium,2,2,2,1095,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",None,Selangor
Ridzuan Condominium,1999,1700,Selangor - Bandar Sunway,Condominium,3,1,2,1192,Fully Furnished,"Minimart, Playground, Squash Court, Security, Parking, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Springville Residence,2016,1400,Selangor - Seri Kembangan,Condominium,3,0,2,1185,Partially Furnished,"Multipurpose hall, Security, Gymnasium, Swimming Pool, Playground",None,Selangor
Residensi Selayang Damai,2017,1600,Selangor - Batu Caves,Apartment,3,1,1,800,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall","Cooking Allowed, Washing Machine",Selangor
Suria Jaya,2017,1600,Selangor - Shah Alam,Apartment,2,1,2,600,Fully Furnished,"Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
Elaeis 1,2017,1800,Selangor - Shah Alam,Condominium,3,1,2,1000,Fully Furnished,"Security, Minimart, Playground, Sauna, Parking, Swimming Pool, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Selangor
Le Pavillion,2017,1850,Selangor - Puchong,Service Residence,3,2,2,990,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Selangor
Taman Sri Murni Fasa 2,2017,1000,Selangor - Batu Caves,Apartment,3,1,2,776,Partially Furnished,"Swimming Pool, Parking, Security, Lift",None,Selangor
Cyberia SmartHomes,2002,1200,Selangor - Cyberjaya,Condominium,3,1,2,1000,Fully Furnished,None,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Mutiara Ville @ Cyberjaya,2013,2000,Selangor - Cyberjaya,Condominium,2,2,2,980,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
D'Aman Residences,2013,1200,Selangor - Puchong,Condominium,2,2,3,1076,Partially Furnished,"Jogging Track, Squash Court, Security, Playground, Gymnasium, Multipurpose hall, Swimming Pool","Air-Cond, Cooking Allowed",Selangor
Vista Millennium Condominiums,2017,1350,Selangor - Puchong,Condominium,3,1,2,850,Fully Furnished,"Security, Jogging Track, Playground, Multipurpose hall, Swimming Pool, Gymnasium, Lift, Parking, Minimart, Barbeque area, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
"Pangsapuri Harmoni 1 RSKU, Putra Heights",2017,1200,Selangor - Putra Heights,Apartment,2,0,2,800,Fully Furnished,"Lift, Jogging Track, Security, Parking, Playground","Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Residensi Permai,2020,1100,Selangor - Kajang,Condominium,3,2,2,850,Not Furnished,"Swimming Pool, Gymnasium, Minimart, Parking, Security, Playground, Jogging Track",None,Selangor
Indah Alam,2017,1600,Selangor - Shah Alam,Condominium,2,2,1,900,Fully Furnished,"Jogging Track, Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Ridzuan Condominium,1999,1100,Selangor - Bandar Sunway,Condominium,1,1,1,520,Fully Furnished,"Gymnasium, Playground, Security, Minimart, Parking, Lift, Swimming Pool, Barbeque area, Multipurpose hall, Jogging Track, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Juta Mines,2005,950,Selangor - Seri Kembangan,Condominium,3,1,2,1000,Partially Furnished,"Swimming Pool, Tennis Court, Security, Playground, Parking, Minimart, Gymnasium","Cooking Allowed, Near KTM/LRT, Washing Machine, Air-Cond",Selangor
Aster Residence Cheras,2021,2500,Selangor - Cheras,Condominium,3,2,2,810,Fully Furnished,"Swimming Pool, Barbeque area, Security, Parking, Playground, Gymnasium, Lift, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Pangsapuri Flora II,2017,1050,Selangor - Shah Alam,Apartment,3,1,2,900,Partially Furnished,"Parking, Barbeque area, Playground, Security, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Goodyear Court 9,2017,1250,Selangor - Subang Jaya,Apartment,3,2,2,800,Partially Furnished,"Parking, Security, Tennis Court, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
Sri Pinang (Puchong),2017,950,Selangor - Puchong,Apartment,3,1,2,900,Partially Furnished,"Security, Playground, Swimming Pool, Barbeque area, Parking","Cooking Allowed, Near KTM/LRT",Selangor
Sri Cempaka (Pusat Bandar Puchong),2017,850,Selangor - Puchong,Apartment,3,1,2,850,Not Furnished,"Parking, Swimming Pool, Squash Court, Security, Multipurpose hall, Minimart, Playground, Jogging Track","Near KTM/LRT, Air-Cond",Selangor
Aster Residence Cheras,2021,3000,Selangor - Cheras,Condominium,3,2,3,957,Fully Furnished,"Playground, Barbeque area, Parking, Swimming Pool, Security, Gymnasium, Lift","Air-Cond, Cooking Allowed",Selangor
Putra Raya Apartment,2017,500,Selangor - Seri Kembangan,Apartment,3,0,2,683,Not Furnished,"Parking, Playground, Minimart",None,Selangor
Core Soho Suite,2017,900,Selangor - Sepang,Apartment,1,1,1,450,Partially Furnished,"Parking, Security, Lift",None,Selangor
Emporis (Kota Damansara),2020,2500,Selangor - Kota Damansara,Service Residence,3,2,2,929,Fully Furnished,None,None,Selangor
Elaeis 2,2002,1500,Selangor - Shah Alam,Condominium,3,1,2,1000,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
The Wharf (Puchong),2014,1300,Selangor - Puchong,Service Residence,2,1,2,818,Partially Furnished,"Parking, Security, Playground, Swimming Pool, Gymnasium, Jogging Track, Multipurpose hall, Lift, Minimart, Club house, Tennis Court","Air-Cond, Washing Machine, Cooking Allowed",Selangor
Gugusan Kemboja,2017,1050,Selangor - Kota Damansara,Flat,3,0,2,650,Not Furnished,Parking,"Near KTM/LRT, Air-Cond, Cooking Allowed",Selangor
Shang Villa,2017,1700,Selangor - Kelana Jaya,Condominium,2,0,2,1024,Partially Furnished,"Jogging Track, Multipurpose hall, Playground, Swimming Pool, Tennis Court, Club house, Security, Minimart, Sauna, Gymnasium, Squash Court, Barbeque area, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Prima Bayu,2017,1300,Selangor - Klang,Condominium,3,2,2,1150,Partially Furnished,"Security, Swimming Pool, Parking, Playground, Barbeque area, Minimart","Cooking Allowed, Air-Cond",Selangor
LBS Skylake Residence,2021,1250,Selangor - Puchong,Service Residence,1,1,1,554,Partially Furnished,"Security, Swimming Pool, Gymnasium, Multipurpose hall, Playground, Lift, Barbeque area, Sauna, Jogging Track","Cooking Allowed, Air-Cond",Selangor
Semarak Apartment (Shah Alam),2017,800,Selangor - Shah Alam,Apartment,3,0,2,650,Not Furnished,"Playground, Parking",None,Selangor
The Square SOHO @ One City USJ 25,2017,1499,Selangor - Subang Jaya,Service Residence,1,0,1,550,Fully Furnished,"Playground, Swimming Pool, Parking, Security, Jogging Track, Gymnasium, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Menara U,2013,1700,Selangor - Shah Alam,Condominium,2,1,1,527,Fully Furnished,"Parking, Swimming Pool, Gymnasium, Squash Court, Jogging Track, Minimart, Playground, Security, Lift","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Idaman Residensi Selangorku,2017,1099,Selangor - Cyberjaya,Apartment,3,2,2,1000,Partially Furnished,"Minimart, Parking, Security, Swimming Pool","Air-Cond, Cooking Allowed",Selangor
Pangsapuri Damai,2017,1050,Selangor - Shah Alam,Apartment,3,1,2,1071,Not Furnished,"Parking, Security, Lift, Playground, Minimart, Gymnasium, Jogging Track",Cooking Allowed,Selangor
Prima Selayang,2017,800,Selangor - Batu Caves,Apartment,5,1,2,1340,Not Furnished,"Parking, Playground, Jogging Track",None,Selangor
Kenwingston Square Garden,2020,1400,Selangor - Cyberjaya,Service Residence,1,1,1,450,Fully Furnished,"Gymnasium, Swimming Pool, Parking, Security, Lift, Playground, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Impiria Residensi Bukit Tinggi Klang,2018,3000,Selangor - Klang,Condominium,4,0,3,1314,Fully Furnished,"Minimart, Swimming Pool, Sauna, Security, Playground, Parking, Gymnasium, Squash Court, Lift",None,Selangor
Neo Damansara,2017,1300,Selangor - Petaling Jaya,Service Residence,1,1,1,421,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground","Air-Cond, Cooking Allowed, Washing Machine",Selangor
Bandar Puncak Alam,2017,1500,Selangor - Puncak Alam,Townhouse Condo,4,0,2,1650,Partially Furnished,Security,None,Selangor
Pangsapuri Sri Angkasa,2017,1000,Selangor - Shah Alam,Apartment,3,0,2,960,Not Furnished,"Parking, Playground, Security",None,Selangor
LBS Skylake Residence,2021,1300,Selangor - Puchong,Service Residence,2,2,2,883,Partially Furnished,"Barbeque area, Sauna, Multipurpose hall, Playground, Jogging Track, Lift, Security, Swimming Pool, Gymnasium, Parking, Minimart, Tennis Court",Cooking Allowed,Selangor
LBS Skylake Residence,2021,1300,Selangor - Puchong,Service Residence,2,2,2,883,Partially Furnished,"Barbeque area, Sauna, Multipurpose hall, Playground, Jogging Track, Lift, Security, Swimming Pool, Gymnasium, Parking, Minimart, Tennis Court, Club house",Cooking Allowed,Selangor
LBS Skylake Residence,2021,1650,Selangor - Puchong,Service Residence,2,2,2,1000,Partially Furnished,"Lift, Barbeque area, Security, Multipurpose hall, Sauna, Swimming Pool, Gymnasium, Jogging Track, Playground, Parking, Minimart, Club house, Tennis Court","Cooking Allowed, Washing Machine",Selangor
La Thea Residences,2016,2000,Selangor - Puchong,Condominium,3,2,2,980,Fully Furnished,"Jogging Track, Gymnasium, Parking, Security, Swimming Pool, Lift, Sauna, Barbeque area, Minimart, Playground, Multipurpose hall, Tennis Court, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Mutiara Serdang (Turf View),2017,900,Selangor - Seri Kembangan,Apartment,3,0,2,956,Partially Furnished,"Parking, Security, Lift, Playground, Swimming Pool, Gymnasium, Minimart",Near KTM/LRT,Selangor
Ridzuan Condominium,1999,1500,Selangor - Bandar Sunway,Condominium,3,1,2,1192,Partially Furnished,"Minimart, Security, Playground, Squash Court, Parking, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine",Selangor
De Bayu Apartment,2020,1200,Selangor - Setia Alam,Apartment,3,2,2,900,Partially Furnished,"Minimart, Club house, Sauna, Tennis Court, Gymnasium","Washing Machine, Cooking Allowed",Selangor
Regency Condominium (Klang),2003,1600,Selangor - Klang,Condominium,3,0,2,1400,Fully Furnished,None,None,Selangor
Villa Impian (Kota Warisan Sepang),2017,700,Selangor - Sepang,Condominium,1,1,1,450,Not Furnished,"Parking, Gymnasium, Club house, Jogging Track, Sauna, Security, Lift, Barbeque area, Minimart, Swimming Pool, Playground, Multipurpose hall",Cooking Allowed,Selangor
